frase_id;ord;token;pos;lema
51;2;empatia;N;empatia
51;3;respeito;n;respeito
51;4;amor;n;amor
51;5;Basta;N;basta
52;1;Palhaçada;N;palhaçado
53;1;respeito;n;respeito
53;2;diferenças;n;diferença
53;3;base;n;base
53;4;sociedade;n;sociedade
53;5;mais;adv;mal
53;6;justa;adj;justo
54;1;mundo;n;mundo
54;2;possam;v-fin;poder
54;3;amar;N;amar
54;4;livremente;adv;livremente
55;1;direitos;n;direito
55;2;LGBTQ+;N;lgbtq+
55;3;direitos;n;direito
55;4;humanos;adj;humano
56;1;Celebrar;N;celebrar
56;2;Orgulho;N;orgulho
56;3;celebrar;N;celebrar
56;4;liberdade;n;liberdade
57;1;inclusão;n;inclusão
57;2;nÃ³s;N;nã³
57;3;torna-;v-fin;tornar
57;4;sociedade;n;sociedade
57;5;mais;adv;mal
57;6;rica;adj;rico
57;7;humana;adj;humano
58;1;diversidade;n;diversidade
58;2;maior;adj;grande
58;3;força;n;força
59;1;medo;n;medo
59;2;impeça;N;impeça
59;3;amor;n;amor
59;4;verdadeiro;adj;verdadeiro
60;1;vieste;N;vieste
60;2;ler;v-inf;ler
60;3;caixa;n;caixa
60;4;comentários;n;comentário
60;5;LGBTQIA+;N;lgbtqia+
60;6;estás;N;está
60;7;mal;adv;mal
60;8;mais;adv;mal
60;9;vez;n;vez
60;10;identidade;n;identidade
60;11;sexual;adj;sexual
60;12;insultada;N;insultado
60;13;comentários;n;comentário
60;14;ódio;n;ódio
60;15;lembra-;v-fin;lembrar
60;16;pessoas;n;pessoa
60;17;não;adv;não
60;18;literacia;N;literacia
60;19;não;adv;não
60;20;estudaram;N;estudaram
60;21;área;n;área
60;22;ciência;n;ciência
60;23;lado;n;lado
60;24;cá;adv;cá
60;25;pessoas;n;pessoa
60;26;lado;n;lado
60;27;certo.Nunca;N;certo.nunca
60;28;comento;N;comento
60;29;caixas;n;caixa
60;30;hoje;adv;hoje
60;31;dia;n;dia
60;32;LGBTQIAfobia;N;lgbtqiafobia
60;33;decidi;v-fin;decidir
60;34;abraço;n;abraço
60;35;local;n;local
60;36;cheio;adj;cheio
60;37;pontapés;N;pontapé
60;38;Não;adv;não
60;39;esqueças;N;esqueça
60;40;sê;N;sê
60;41;sempre;adv;sempre
60;42;mais;adv;mal
60;43;importante;adj;importante
60;44;sê;N;sê
60;45;feliz;adj;feliz
61;1;maluco;N;maluco
62;1;enfiou;v-fin;enfiar
62;2;armário;N;armário
62;3;Agora;adv;agora
62;4;não;adv;não
62;5;gay;adj;gay
62;6;fechar;v-inf;fechar
62;7;armário;N;armário
62;8;imposição;n;imposição
62;9;agenda;n;agenda
63;1;Tristes;N;triste
63;2;carentes;adj;carente
63;3;atenção;n;atenção
64;1;Querem;v-fin;querer
64;2;respeito;n;respeito
64;3;aceitação;n;aceitação
